2026-03-19 08:39:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:57 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:58 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:59 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:00 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:01 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:02 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:03 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:04 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:05 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:08 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:09 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:10 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:11 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:13 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:14 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:15 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:16 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:18 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:19 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:20 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:21 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:22 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:24 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:25 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:26 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:28 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:32 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:33 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:37 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:42 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:40:43 | INFO | Application Layer  | rx: Satellite Data 1
