2026-01-21 18:09:03 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:09:04 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:09:05 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:09:07 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:09:08 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:09:18 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:09:18 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:09:19 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:09:19 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:09:20 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:09:21 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:09:22 | INFO | Data Link Layer    | b'\x10\x18\x1a\x0c\n\nexit orbit'
2026-01-21 18:09:23 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:09:24 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:09:25 | INFO | Data Link Layer    | b'\x10\x19\x1a\x0c\n\nexit orbit'
2026-01-21 18:15:38 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:15:38 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:15:39 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:15:39 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:15:40 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:15:41 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:15:42 | INFO | Data Link Layer    | b'\x10\x18\x1a\x0c\n\nexit orbit'
2026-01-21 18:15:43 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:15:44 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:15:45 | INFO | Data Link Layer    | b'\x10\x19\x1a\x0c\n\nexit orbit'
2026-01-21 18:18:00 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:18:00 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:18:01 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:18:01 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:18:02 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:18:03 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:18:04 | INFO | Data Link Layer    | b'\x10\x18\x1a\x0c\n\nexit orbit'
2026-01-21 18:18:04 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:18:06 | INFO | Data Link Layer    | b'\x10\x19\x1a\x0c\n\nexit orbit'
2026-01-21 18:18:46 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:18:46 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:18:47 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:18:47 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:18:48 | INFO | Data Link Layer    | b'\x10\x18\x1a\x17\n\x15connected uplink mode'
2026-01-21 18:18:49 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:18:49 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:18:50 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:18:51 | INFO | Data Link Layer    | b'\x10\x18\x1a\x19\n\x17connected downlink mode'
2026-01-21 18:18:52 | INFO | Data Link Layer    | b'\x10\x18\x1a\x0c\n\nexit orbit'
2026-01-21 18:22:54 | INFO | Data Link Layer    | <coroutine object AudimusSessionLayer.process_tx at 0x000001D37238B220>
2026-01-21 18:22:54 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x00000250EC253AE0>
2026-01-21 18:22:55 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x00000250EC253BC0>
2026-01-21 18:22:57 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x00000250EC2534C0>
2026-01-21 18:24:01 | INFO | Data Link Layer    | <coroutine object AudimusSessionLayer.process_tx at 0x0000018656FAB220>
2026-01-21 18:24:01 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001C5A9263AE0>
2026-01-21 18:24:02 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001C5A9263BC0>
2026-01-21 18:24:04 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001C5A92634C0>
2026-01-21 18:24:05 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001C5A9284660>
2026-01-21 18:24:07 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001C5A9284820>
2026-01-21 18:24:32 | INFO | Data Link Layer    | <coroutine object AudimusSessionLayer.process_tx at 0x000002E1092BB220>
2026-01-21 18:24:32 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x0000018513377AC0>
2026-01-21 18:24:33 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x0000018513377100>
2026-01-21 18:24:35 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x000001851313AC20>
2026-01-21 18:24:36 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x0000018513377AC0>
2026-01-21 18:24:38 | INFO | Data Link Layer    | <coroutine object GroundStationSessionLayer.process_tx at 0x0000018513377D30>
2026-01-21 18:25:15 | INFO | Data Link Layer    | <coroutine object AudimusSessionLayer.process_tx at 0x0000020ED03DB220>
2026-01-21 18:25:15 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:25:16 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:25:18 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:25:19 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:25:21 | INFO | Data Link Layer    | b'\x10\x19\x1a\x0c\n\nexit orbit'
2026-01-21 18:26:41 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 200 y = 200'
2026-01-21 18:26:42 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:26:42 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:26:43 | INFO | Data Link Layer    | b'\x10\x18\x1a\x17\n\x15connected uplink mode'
2026-01-21 18:26:44 | INFO | Data Link Layer    | b'\x10\x18\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:26:44 | INFO | Data Link Layer    | b'\x10\x19\x1a\x16\n\x14burn x = 300 y = 400'
2026-01-21 18:26:45 | INFO | Data Link Layer    | b'\x10\x18\x1a\x12\n\x10send health data'
2026-01-21 18:26:45 | INFO | Data Link Layer    | b'\x10\x19\x1a\x12\n\x10send health data'
2026-01-21 18:26:46 | INFO | Data Link Layer    | b'\x10\x18\x1a\x19\n\x17connected downlink mode'
2026-01-21 18:26:47 | INFO | Data Link Layer    | b'\x10\x18\x1a\x0c\n\nexit orbit'
2026-01-21 18:26:47 | INFO | Data Link Layer    | b'\x10\x19\x1a\x0c\n\nexit orbit'
