2026-03-19 09:39:02 | INFO | Idle | starting activity timer for 180
2026-03-19 09:42:02 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:42:02 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:42:29 | INFO | Idle | Entered Idle mode
2026-03-19 09:42:29 | INFO | Idle | Entered Idle mode
2026-03-19 09:42:29 | INFO | Idle | starting activity timer for 180
2026-03-19 09:42:29 | INFO | Idle | starting activity timer for 180
2026-03-19 09:43:09 | INFO | Idle | Entered Idle mode
2026-03-19 09:43:09 | INFO | Idle | starting activity timer for 180
2026-03-19 09:43:09 | INFO | Idle | Entered Idle mode
2026-03-19 09:43:09 | INFO | Idle | starting activity timer for 180
2026-03-19 09:43:13 | ERROR | Idle | Failed to frame SYN: 'GroundStationIdle' object has no attribute 'frame_syn'
2026-03-19 09:43:46 | INFO | Idle | Entered Idle mode
2026-03-19 09:43:46 | INFO | Idle | starting activity timer for 180
2026-03-19 09:43:46 | INFO | Idle | Entered Idle mode
2026-03-19 09:43:46 | INFO | Idle | starting activity timer for 180
2026-03-19 09:44:22 | INFO | Idle | Entered Idle mode
2026-03-19 09:44:22 | INFO | Idle | starting activity timer for 180
2026-03-19 09:44:22 | INFO | Idle | Entered Idle mode
2026-03-19 09:44:22 | INFO | Idle | starting activity timer for 180
2026-03-19 09:45:50 | INFO | Idle | Entered Idle mode
2026-03-19 09:45:50 | INFO | Idle | starting activity timer for 180
2026-03-19 09:45:50 | INFO | Idle | Entered Idle mode
2026-03-19 09:45:50 | INFO | Idle | starting activity timer for 180
2026-03-19 09:46:57 | INFO | Idle | Entered Idle mode
2026-03-19 09:46:57 | INFO | Idle | starting activity timer for 180
2026-03-19 09:46:58 | INFO | Idle | Entered Idle mode
2026-03-19 09:46:58 | INFO | Idle | starting activity timer for 180
2026-03-19 09:47:53 | INFO | Idle | Entered Idle mode
2026-03-19 09:47:53 | INFO | Idle | starting activity timer for 180
2026-03-19 09:47:53 | INFO | Idle | starting activity timer for 180
2026-03-19 09:48:37 | INFO | Idle | Entered Idle mode
2026-03-19 09:48:37 | INFO | Idle | starting activity timer for 180
2026-03-19 09:48:37 | INFO | Idle | Entered Idle mode
2026-03-19 09:48:37 | INFO | Idle | starting activity timer for 180
2026-03-19 09:49:23 | INFO | Idle | Entered Idle mode
2026-03-19 09:49:23 | INFO | Idle | starting activity timer for 180
2026-03-19 09:49:23 | INFO | Idle | Entered Idle mode
2026-03-19 09:49:23 | INFO | Idle | starting activity timer for 180
2026-03-19 09:52:23 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:53:16 | INFO | Idle | Entered Idle mode
2026-03-19 09:53:16 | INFO | Idle | starting activity timer for 180
2026-03-19 09:53:16 | INFO | Idle | Entered Idle mode
2026-03-19 09:53:16 | INFO | Idle | starting activity timer for 180
2026-03-19 09:53:41 | INFO | Idle | Entered Idle mode
2026-03-19 09:53:41 | INFO | Idle | starting activity timer for 180
2026-03-19 09:53:41 | INFO | Idle | Entered Idle mode
2026-03-19 09:53:41 | INFO | Idle | starting activity timer for 180
2026-03-19 09:56:23 | INFO | Idle | Entered Idle mode
2026-03-19 09:56:23 | INFO | Idle | starting activity timer for 180
2026-03-19 09:56:23 | INFO | Idle | Entered Idle mode
2026-03-19 09:56:23 | INFO | Idle | starting activity timer for 180
2026-03-19 09:57:44 | INFO | Idle | Entered Idle mode
2026-03-19 09:57:44 | INFO | Idle | starting activity timer for 180
2026-03-19 09:57:44 | INFO | Idle | Entered Idle mode
2026-03-19 09:57:44 | INFO | Idle | starting activity timer for 180
2026-03-19 09:58:25 | INFO | Idle | Entered Idle mode
2026-03-19 09:58:25 | INFO | Idle | starting activity timer for 180
2026-03-19 09:58:26 | INFO | Idle | Entered Idle mode
2026-03-19 09:58:26 | INFO | Idle | starting activity timer for 180
2026-03-19 09:59:24 | INFO | Idle | Entered Idle mode
2026-03-19 09:59:24 | INFO | Idle | starting activity timer for 180
2026-03-19 09:59:24 | INFO | Idle | Entered Idle mode
2026-03-19 09:59:24 | INFO | Idle | starting activity timer for 180
